Month,Takedown Notices Processed,"Retractions, Reversals, and Counter Notices Processed",Takedowns,Projects Retracted,Projects Reversed,Projects Counter Noticed,Projects Counter Notice Retracted,"Projects Retracted, Reversed, or Counter Noticed",Projects Remaining Offline,Retracted Notices,Reversed Notices,Counter Notices,Counter Notices Retracted,Projects Counter Notice Reversed,Counter Notices Reversed,"NOTE: these figures include forks that were not documented in takedown notices, so will differ from 2020-COMPILED-DATA.csv"
2020-01,142,3,3342,0,0,4,0,4,3338,0,0,3,0,0,0,
2020-02,125,2,1305,0,0,3,0,3,1302,0,0,2,0,0,0,
2020-03,134,1,1738,1,0,0,0,1,1737,1,0,0,0,0,0,
2020-04,178,1,2213,0,0,1,0,1,2212,0,0,1,0,0,0,
2020-05,168,2,2685,0,0,3,0,3,2682,0,0,2,0,0,0,
2020-06,217,5,2590,0,2,2,1,3,2587,0,2,2,1,0,0,
2020-07,232,2,2462,0,0,5,0,5,2457,0,0,2,0,0,0,
2020-08,172,4,1076,0,0,10,0,10,1066,0,0,4,0,0,0,
2020-09,206,3,1260,0,0,6,0,6,1254,0,0,3,0,0,0,
2020-10,154,4,13888,0,0,5,0,5,13883,0,0,3,0,1,1,
2020-11,156,4,2011,0,1,6,0,7,2004,0,1,3,0,0,0,
2020-12,213,8,2331,1,0,16,0,72,2259,1,0,7,0,0,0,
