Filename,Year,Month,Date,Description,Type of Notice,Number of Repos Affected
2021-01-25-qatoolkit.md,2021,01,25,qatoolkit.md,takedown,2
2021-01-25-simonandschuster.md,2021,01,25,simonandschuster.md,takedown,1
2021-01-25-vue-webpack-echart.md,2021,01,25,vue-webpack-echart.md,takedown,1
2021-01-26-bancoofficial.md,2021,01,26,bancoofficial.md,takedown,1
2021-01-26-browseinfo.md,2021,01,26,browseinfo.md,takedown,7
2021-01-26-clearlink.md,2021,01,26,clearlink.md,takedown,10
2021-01-26-ecopetrol.md,2021,01,26,ecopetrol.md,takedown,1
2021-01-26-probuse.md,2021,01,26,probuse.md,takedown,2
2021-01-26-sinopec.md,2021,01,26,sinopec.md,takedown,1
2021-01-26-starcord.md,2021,01,26,starcord.md,takedown,1
2021-01-26-zilculator.md,2021,01,26,zilculator.md,takedown,1
2021-01-27-autorabit.md,2021,01,27,autorabit.md,takedown,1
2021-01-27-galvanize-2.md,2021,01,27,galvanize-2.md,takedown,1
2021-01-27-galvanize.md,2021,01,27,galvanize.md,takedown,14
2021-01-27-open_neyrokod.md,2021,01,27,open_neyrokod.md,takedown,1
2021-01-27-saqueepague.md,2021,01,27,saqueepague.md,takedown,1
2021-01-27-whitebox-2.md,2021,01,27,whitebox-2.md,takedown,1
2021-01-27-whitebox.md,2021,01,27,whitebox.md,takedown,2
2021-01-28-baytonia.md,2021,01,28,baytonia.md,takedown,1
2021-01-28-chef-supplier-ios.md,2021,01,28,chef-supplier-ios.md,takedown,1
2021-01-28-deliveryboy.md,2021,01,28,deliveryboy.md,takedown,1
2021-01-28-moviekotlin.md,2021,01,28,moviekotlin.md,takedown,1
2021-01-28-odoo-website-addons.md,2021,01,28,odoo-website-addons.md,takedown,1
2021-01-28-odoo13.md,2021,01,28,odoo13.md,takedown,1
2021-01-28-pickerappreferencecode.md,2021,01,28,pickerappreferencecode.md,takedown,1
2021-01-28-shanxi-liankang.md,2021,01,28,shanxi-liankang.md,takedown,2
2021-01-28-siganow.md,2021,01,28,siganow.md,takedown,1
2021-01-28-tasaq-android.md,2021,01,28,tasaq-android.md,takedown,1
2021-01-28-vertigoboost-counternotice.md,2021,01,28,vertigoboost-counternotice.md,counternotice,1
2021-01-28-ws-abcdin-transporte.md,2021,01,28,ws-abcdin-transporte.md,takedown,1
2021-01-28-zoominfo.md,2021,01,28,zoominfo.md,takedown,1
2021-01-29-abcdin-app.md,2021,01,29,abcdin-app.md,takedown,1
2021-01-29-feed-abcdin.md,2021,01,29,feed-abcdin.md,takedown,1
2021-01-29-readykit.md,2021,01,29,readykit.md,takedown,1
2021-01-29-vertigo-boosting-panel.md,2021,01,29,vertigo-boosting-panel.md,takedown,6
2021-02-02-goquizbaselined.md,2021,02,02,goquizbaselined.md,takedown,1
2021-02-02-gravit-api.md,2021,02,02,gravit-api.md,takedown,2
2021-02-02-mobworx.md,2021,02,02,mobworx.md,takedown,5
2021-02-02-mpa.md,2021,02,02,mpa.md,takedown,1
2021-02-02-os-projects.md,2021,02,02,os-projects.md,takedown,1
2021-02-03-alinta-pos-fast.md,2021,02,03,alinta-pos-fast.md,takedown,1
2021-02-03-bullhorn.md,2021,02,03,bullhorn.md,takedown,1
2021-02-03-galvanize-2.md,2021,02,03,galvanize-2.md,takedown,19
2021-02-03-galvanize-3.md,2021,02,03,galvanize-3.md,takedown,5
2021-02-03-galvanize-4.md,2021,02,03,galvanize-4.md,takedown,15
2021-02-03-galvanize.md,2021,02,03,galvanize.md,takedown,8
2021-02-03-mashreqbank.md,2021,02,03,mashreqbank.md,takedown,2
2021-02-03-modelo.md,2021,02,03,modelo.md,takedown,3
2021-02-03-mx-media.md,2021,02,03,mx-media.md,takedown,1
2021-02-04-credz.md,2021,02,04,credz.md,takedown,1
2021-02-04-datastax.md,2021,02,04,datastax.md,takedown,1
2021-02-04-medivia.md,2021,02,04,medivia.md,takedown,2
2021-02-04-smbc.md,2021,02,04,smbc.md,takedown,1
2021-02-05-changning.md,2021,02,05,changning.md,takedown,3
2021-02-05-copart.md,2021,02,05,copart.md,takedown,1
2021-02-05-epuch.md,2021,02,05,epuch.md,takedown,4
2021-02-05-octotree.md,2021,02,05,octotree.md,takedown,4
2021-02-05-odoo.md,2021,02,05,odoo.md,takedown,13
2021-02-05-offensivesecurity.md,2021,02,05,offensivesecurity.md,takedown,1
2021-02-05-pavleu.md,2021,02,05,pavleu.md,takedown,1
2021-02-05-themeforest.md,2021,02,05,themeforest.md,takedown,1
2021-02-05-uhc-core.md,2021,02,05,uhc-core.md,takedown,1
2021-02-08-cambridge.md,2021,02,08,cambridge.md,takedown,1
2021-02-08-codility.md,2021,02,08,codility.md,takedown,5
2021-02-08-copart.md,2021,02,08,copart.md,takedown,1
2021-02-08-debookee.md,2021,02,08,debookee.md,takedown,1
2021-02-08-envato.md,2021,02,08,envato.md,takedown,13
2021-02-08-galvanize.md,2021,02,08,galvanize.md,takedown,1
2021-02-08-inspireui.md,2021,02,08,inspireui.md,takedown,20
2021-02-08-log2base2.md,2021,02,08,log2base2.md,takedown,1
2021-02-08-magento.md,2021,02,08,magento.md,takedown,4
2021-02-08-marketplace.md,2021,02,08,marketplace.md,takedown,1
2021-02-08-neo4J.md,2021,02,08,neo4J.md,takedown,1
2021-02-08-smbc.md,2021,02,08,smbc.md,takedown,1
2021-02-08-wipro.md,2021,02,08,wipro.md,takedown,1
2021-02-09-boubyan.md,2021,02,09,boubyan.md,takedown,1
2021-02-09-codility-2.md,2021,02,09,codility-2.md,takedown,2
2021-02-09-codility-3.md,2021,02,09,codility-3.md,takedown,1
2021-02-09-codility.md,2021,02,09,codility.md,takedown,1
2021-02-09-infosys.md,2021,02,09,infosys.md,takedown,1
2021-02-09-jinhuajisheng.md,2021,02,09,jinhuajisheng.md,takedown,1
2021-02-09-no-starch-press.md,2021,02,09,no-starch-press.md,takedown,1
2021-02-09-payment-telr.md,2021,02,09,payment-telr.md,takedown,4
2021-02-09-screen-lock-pos.md,2021,02,09,screen-lock-pos.md,takedown,4
2021-02-09-setapick-labs.md,2021,02,09,setapick-labs.md,takedown,15
2021-02-09-viavarejo.md,2021,02,09,viavarejo.md,takedown,1
2021-02-10-deezer.md,2021,02,10,deezer.md,takedown,9
2021-02-10-girnarsoftware.md,2021,02,10,girnarsoftware.md,takedown,2
2021-02-10-loaf.md,2021,02,10,loaf.md,takedown,14
2021-02-10-wiley.md,2021,02,10,wiley.md,takedown,1
2021-02-11-actiontrails.md,2021,02,11,actiontrails.md,takedown,2
2021-02-11-beijingmiraclecapital.md,2021,02,11,beijingmiraclecapital.md,takedown,1
2021-02-11-changsha.md,2021,02,11,changsha.md,takedown,2
2021-02-11-doudeka.md,2021,02,11,doudeka.md,takedown,10
2021-02-11-educative.md,2021,02,11,educative.md,takedown,1
2021-02-11-nvidia.md,2021,02,11,nvidia.md,takedown,1
2021-02-11-odoo.md,2021,02,11,odoo.md,takedown,18
2021-02-11-packt.md,2021,02,11,packt.md,takedown,50
2021-02-11-searle.md,2021,02,11,searle.md,takedown,1
2021-02-11-sensetime-2.md,2021,02,11,sensetime-2.md,takedown,1
2021-02-11-sensetime-3.md,2021,02,11,sensetime-3.md,takedown,1
2021-02-11-sensetime.md,2021,02,11,sensetime.md,takedown,1
2021-02-11-zanebot.md,2021,02,11,zanebot.md,takedown,3
2021-02-12-codility-2.md,2021,02,12,codility-2.md,takedown,1
2021-02-12-codility.md,2021,02,12,codility.md,takedown,8
2021-02-12-devskiller.md,2021,02,12,devskiller.md,takedown,1
2021-02-12-docsuitepa.md,2021,02,12,docsuitepa.md,takedown,1
2021-02-12-gravit-api.md,2021,02,12,gravit-api.md,takedown,2
2021-02-12-hardwatse.md,2021,02,12,hardwatse.md,takedown,1
2021-02-12-mlfinlab.md,2021,02,12,mlfinlab.md,takedown,2
2021-02-12-more-mountains.md,2021,02,12,more-mountains.md,takedown,29
2021-02-12-papajohns.md,2021,02,12,papajohns.md,takedown,1
2021-02-12-product-version-counternotice-reversal.md,2021,02,12,product-version-counternotice-reversal.md,counternotice-reversal,1
2021-02-12-sensetime-2.md,2021,02,12,sensetime-2.md,takedown,3
2021-02-12-sensetime-3.md,2021,02,12,sensetime-3.md,takedown,1
2021-02-12-sensetime.md,2021,02,12,sensetime.md,takedown,6
2021-02-12-webkul.md,2021,02,12,webkul.md,takedown,1
2021-02-16-appy-health.md,2021,02,16,appy-health.md,takedown,1
2021-02-16-awesome-mapper.md,2021,02,16,awesome-mapper.md,takedown,1
2021-02-16-codility-2.md,2021,02,16,codility-2.md,takedown,2
2021-02-16-codility.md,2021,02,16,codility.md,takedown,1
2021-02-16-credmarket.md,2021,02,16,credmarket.md,takedown,1
2021-02-16-fisglobal.md,2021,02,16,fisglobal.md,takedown,1
2021-02-16-gerdau.md,2021,02,16,gerdau.md,takedown,1
2021-02-16-qualcomm.md,2021,02,16,qualcomm.md,takedown,11
2021-02-16-simplyioa.md,2021,02,16,simplyioa.md,takedown,1
2021-02-16-webkul.md,2021,02,16,webkul.md,takedown,1
2021-02-17-bigsur.md,2021,02,17,bigsur.md,takedown,1
2021-02-17-ezoptimizer.md,2021,02,17,ezoptimizer.md,takedown,1
2021-02-17-fluxstore.md,2021,02,17,fluxstore.md,takedown,19
2021-02-17-phishlabs-hulu-2.md,2021,02,17,phishlabs-hulu-2.md,takedown,1
2021-02-17-phishlabs-hulu.md,2021,02,17,phishlabs-hulu.md,takedown,1
2021-02-17-source-code.md,2021,02,17,source-code.md,takedown,1
2021-02-17-suez.md,2021,02,17,suez.md,takedown,1
2021-02-17-zeltux.md,2021,02,17,zeltux.md,takedown,2
2021-02-18-amroc-vtf.md,2021,02,18,amroc-vtf.md,takedown,3
2021-02-18-aspose-2.md,2021,02,18,aspose-2.md,takedown,1
2021-02-18-aspose-3.md,2021,02,18,aspose-3.md,takedown,1
2021-02-18-aspose.md,2021,02,18,aspose.md,takedown,1
2021-02-18-codility.md,2021,02,18,codility.md,takedown,1
2021-02-18-cs61b-ucb.md,2021,02,18,cs61b-ucb.md,takedown,5
2021-02-18-northwoods-npm-2.md,2021,02,18,northwoods-npm-2.md,takedown,1
2021-02-18-northwoods-npm.md,2021,02,18,northwoods-npm.md,takedown,1
2021-02-18-testdome.md,2021,02,18,testdome.md,takedown,4
2021-02-19-sqlpractice.md,2021,02,19,sqlpractice.md,takedown,2
2021-02-19-take-two.md,2021,02,19,take-two.md,takedown,228
2021-02-22-cs61b-ucb.md,2021,02,22,cs61b-ucb.md,takedown,27
2021-02-22-devskiller.md,2021,02,22,devskiller.md,takedown,1
